CaseID,Activity,Timestamp
2,1,15433.621967592593
2,8,15433.622141203703
2,6,15435.636018518519
3,1,14911.676458333333
3,8,14917.011238425926
3,6,14917.014780092593
4,1,14958.93880787037
4,8,14959.66744212963
4,6,14959.67244212963
5,1,15433.797592592593
5,8,15433.82329861111
5,6,15433.824560185185
5,8,15433.843773148148
5,6,15433.921851851852
6,1,15272.884699074075
6,8,15272.915914351852
6,6,15273.663032407407
8,1,15526.604537037038
8,8,15526.642881944445
8,6,15526.656087962963
9,3,14736.793298611112
9,1,14736.793449074074
9,8,14753.685046296296
9,6,14754.899814814815
10,1,14650.70162037037
10,8,14687.699375
10,6,14687.69945601852
11,1,15329.975474537037
11,8,15329.976087962963
11,6,15330.747025462962
14,1,15160.824398148148
14,8,15160.824560185185
14,6,15160.82820601852
16,1,15392.92837962963
16,8,15393.00980324074
16,8,15393.016631944445
16,6,15393.741412037038
17,1,15261.549155092593
17,8,15281.012407407406
17,6,15287.896956018518
19,1,14797.579212962963
19,8,14799.674212962964
19,6,14799.67451388889
21,1,14988.968993055556
21,8,15001.671261574074
21,6,15001.763368055555
22,1,15544.57574074074
22,8,15544.575856481482
22,9,15544.61943287037
22,6,15579.670405092593
24,1,14726.659675925926
24,8,14768.713148148148
24,6,14768.865462962964
25,1,14973.727280092593
25,8,14973.88476851852
25,6,14973.969849537038
26,1,15064.561655092593
26,8,15064.563877314815
26,9,15064.610891203703
26,8,15064.708657407407
26,6,15064.708807870371
27,1,15302.91824074074
27,8,15302.918460648149
27,6,15320.711655092593
29,1,15551.671898148148
29,8,15551.67199074074
29,6,15551.770601851851
30,1,14995.741203703703
30,8,15012.722048611111
30,6,15015.70925925926
32,1,15091.568564814816
32,8,15091.782094907407
32,6,15092.595925925925
35,1,15357.677430555555
35,6,15357.740706018518
36,1,15154.671388888888
36,8,15155.790543981482
36,6,15160.564386574075
37,1,15015.800775462963
37,8,15015.801076388889
37,6,15015.97224537037
37,6,15035.891643518518
37,8,15035.891747685186
37,9,15035.977685185186
37,8,15037.734606481481
37,6,15037.734664351852
38,1,15419.665104166666
38,8,15419.66545138889
38,6,15419.679814814815
40,1,15561.7590625
40,8,15561.759363425926
40,6,15561.781944444445
41,1,14957.780856481482
41,8,14957.781215277777
41,6,14957.781388888889
42,1,15141.76642361111
42,8,15141.785474537037
42,6,15141.819340277778
43,1,15440.622592592592
43,8,15440.6440625
43,6,15440.703796296297
44,1,14943.006469907408
44,8,14943.013877314816
44,6,14943.014479166666
45,1,15359.92238425926
45,8,15364.823831018519
45,6,15401.778460648147
47,1,15119.658541666666
47,8,15119.658831018518
47,6,15124.878171296295
48,3,14944.904849537037
48,1,14945.921909722223
48,8,14945.922002314815
48,6,14945.922604166666
49,1,15303.940208333333
49,8,15303.94986111111
49,9,15307.949710648149
49,6,15311.018020833333
50,1,15355.78681712963
50,8,15355.7915625
50,6,15356.026319444445
50,6,15356.026331018518
51,1,15504.830277777777
51,8,15505.546597222223
51,9,15506.553090277777
51,6,15523.653518518518
52,1,15547.887800925926
52,8,15547.887905092593
52,6,15548.698935185184
53,1,14896.828622685185
53,8,14897.793472222222
53,9,14910.883969907407
53,9,14910.883969907407
53,8,14911.820844907408
53,6,14917.70013888889
55,1,15273.910902777778
55,8,15278.9715625
55,9,15285.697824074074
55,6,15299.681516203704
56,1,15369.814560185185
56,6,15369.814849537037
57,1,14911.652349537037
57,8,14915.955706018518
57,6,14915.985474537038
59,1,15427.769872685185
59,8,15427.769988425925
59,6,15427.897881944444
59,6,15427.897881944444
60,1,15070.899872685186
60,8,15070.900046296296
60,9,15071.903738425926
60,8,15077.617523148148
60,6,15077.61761574074
61,1,15233.544895833333
61,8,15233.554305555555
61,6,15233.878310185186
62,1,15488.886655092592
62,6,15488.8878125
64,1,15078.912824074074
64,1,15078.913032407407
64,9,15079.695358796296
64,8,15091.687546296296
64,9,15091.687650462964
64,8,15100.654317129629
64,6,15100.65449074074
66,1,15517.615891203704
66,8,15517.61642361111
66,6,15517.795810185185
67,1,14973.960590277778
67,8,14985.694537037038
67,6,14987.823125
68,1,15441.839837962963
68,8,15441.840104166668
68,6,15442.688622685186
70,1,15132.565891203703
